Subject_ID,excluded,trials_total,chose_diatonic,chose_chromatic,%_diatonic,%_chromatic,rt_diatonic,rt_chromatic,rt,rt_diatonic:average,rt_chromatic:average,pressed_button1,pressed_button2
SVG0122,False,100,69,31,0.69,0.31,1283.744927542959,1447.965967746812,1334.6534500061534,0.9618563736804039,1.0849003295500688,43,57
SVG0123,False,100,61,39,0.61,0.39,1258.3699999911496,1127.4869230946001,1207.3256000014953,1.0422789013912992,0.9338714619264296,35,65
SVG0126,False,100,48,52,0.48,0.52,291.77052081892424,782.955480779772,547.186699998565,0.5332193213389314,1.4308744726102174,54,46
SVG0127,False,100,54,46,0.54,0.46,10394.695462958663,9208.597717386589,9849.09049999551,1.0553964818338712,0.9349693474124121,42,58
SVG0130,False,100,54,46,0.54,0.46,1564.6712962943302,992.2769565195979,1301.3698999979533,1.2023263303514173,0.7624864817613797,60,40
SVG0132,False,100,60,40,0.6,0.4,1597.0950833332874,2361.519249999664,1902.8647499998383,0.8393108776298595,1.2410336835552105,62,38
SVG0135,False,100,56,44,0.56,0.44,3429.0084821431105,2893.941136362478,3193.5788499996324,1.0737196866592178,0.9061749442519045,38,62
SVG0138,False,100,64,36,0.64,0.36,1382.9467187470073,1499.5137500033404,1424.9108499992872,0.9705496443849094,1.052356187760161,60,40
SVG0139,False,100,61,39,0.61,0.39,1492.3853278689198,2766.308717948735,1989.215450000048,0.7502381543783424,1.3906531431518232,27,73
SVG0140,False,100,51,49,0.51,0.49,6865.656078432431,9026.64795918249,7924.54209999996,0.8663789013667385,1.139075021026456,63,37
SVG0142,False,100,60,40,0.6,0.4,1505.4295000009006,2849.360375001561,2043.0018500011647,0.7368713346980289,1.3946929979529565,76,24
SVG0143,False,100,62,38,0.62,0.38,2057.4049193509704,2613.2114473822235,2268.6114000028465,0.9069005468933061,1.1518991077003953,44,56
SVG0144,False,100,48,52,0.48,0.52,3908.5212500043176,5127.2247115468,4542.247050006408,0.8604818731730595,1.1287859632248682,54,46
SVG0145,False,100,58,42,0.58,0.42,1202.8355172289343,1511.1608333286963,1332.3321499908343,0.9028045425738688,1.1342222983503718,78,22
